Rk,Week,Day,Date,,Winner/tie,,Loser/tie,,PtsW,PtsL,YdsW,TOW,YdsL,TOL
58,11,Thu,1973-11-22,W,Miami Dolphins,@,Dallas Cowboys,boxscore,14,7,260,1,267,1
59,4,Sun,1974-10-06,W,Atlanta Falcons,@,New York Giants,boxscore,14,7,285,3,261,2
60,9,Sun,1974-11-10,W,San Diego Chargers,@,Kansas City Chiefs,boxscore,14,7,254,2,428,3
61,3,Sun,1975-10-05,W,Atlanta Falcons,,New Orleans Saints,boxscore,14,7,231,2,245,3
62,12,Sun,1975-12-07,W,Los Angeles Rams,@,New Orleans Saints,boxscore,14,7,232,4,218,3
63,4,Sun,1977-10-09,W,Minnesota Vikings,,Detroit Lions,boxscore,14,7,314,3,281,1
64,5,Sun,1977-10-16,W,Los Angeles Rams,,New Orleans Saints,boxscore,14,7,408,3,232,0
65,7,Sun,1977-10-30,W,Minnesota Vikings,@,Atlanta Falcons,boxscore,14,7,357,5,212,2
66,10,Sun,1977-11-20,W,Denver Broncos,@,Kansas City Chiefs,boxscore,14,7,376,3,300,2
67,11,Sun,1977-11-27,W,Dallas Cowboys,@,Washington Redskins,boxscore,14,7,282,2,334,1
68,Division,Mon,1977-12-26,W,Minnesota Vikings,@,Los Angeles Rams,boxscore,14,7,189,0,267,3
69,7,Sun,1978-10-15,W,New Orleans Saints,@,San Francisco 49ers,boxscore,14,7,206,0,175,6
70,8,Sun,1978-10-22,W,Dallas Cowboys,,Philadelphia Eagles,boxscore,14,7,278,0,262,1
71,7,Mon,1979-10-15,W,New York Jets,,Minnesota Vikings,boxscore,14,7,245,0,310,7
72,12,Sun,1979-11-18,W,Minnesota Vikings,,Detroit Lions,boxscore,14,7,295,1,167,3
73,14,Sun,1979-12-02,W,Cleveland Browns,,Houston Oilers,boxscore,14,7,335,2,249,2
74,6,Sun,1980-10-12,W,New York Jets,@,Atlanta Falcons,boxscore,14,7,279,0,240,4
75,8,Sun,1985-10-27,W,Washington Redskins,@,Cleveland Browns,boxscore,14,7,284,1,264,4
76,8,Sun,1986-10-26,W,Los Angeles Rams,,Atlanta Falcons,boxscore,14,7,335,5,151,3
77,5,Sun,1987-10-11,W,New England Patriots,,Buffalo Bills,boxscore,14,7,256,1,168,5
78,5,Mon,1989-10-09,W,Los Angeles Raiders,@,New York Jets,boxscore,14,7,315,1,392,2
79,14,Sun,1989-12-10,W,New York Giants,@,Denver Broncos,boxscore,14,7,261,0,367,0
80,3,Sun,1995-09-17,W,Cleveland Browns,@,Houston Oilers,boxscore,14,7,270,0,327,4
81,13,Sun,1995-11-26,W,Philadelphia Eagles,@,Washington Redskins,boxscore,14,7,316,1,300,2
82,3,Sun,2000-09-17,W,New York Giants,@,Chicago Bears,boxscore,14,7,409,1,228,1
83,14,Sun,2003-12-07,W,San Diego Chargers,@,Detroit Lions,boxscore,14,7,375,2,276,0
84,14,Sun,2003-12-07,W,Tampa Bay Buccaneers,@,New Orleans Saints,boxscore,14,7,314,1,292,3
85,4,Sun,2004-10-03,W,New York Giants,@,Green Bay Packers,boxscore,14,7,403,1,301,3
86,4,Sun,2017-10-01,W,Detroit Lions,@,Minnesota Vikings,boxscore,14,7,251,0,284,3
87,16,Sun,2017-12-24,W,Los Angeles Chargers,@,New York Jets,boxscore,14,7,379,0,295,3
88,5,Sun,2019-10-06,W,Buffalo Bills,@,Tennessee Titans,boxscore,14,7,313,1,252,0
89,4,Sun,2021-10-03,W,Cleveland Browns,@,Minnesota Vikings,boxscore,14,7,327,0,255,1
