Rk,Week,Day,Date,,Winner/tie,,Loser/tie,,PtsW,PtsL,YdsW,TOW,YdsL,TOL
1,10,Sun,1955-11-27,W,Chicago Cardinals,,Chicago Bears,boxscore,53,14,474,2,211,5
1,2,Sun,1964-09-20,T,St. Louis Cardinals,@,Cleveland Browns,boxscore,33,33,344,3,281,3
1,3,Sun,1981-09-20,W,St. Louis Cardinals,,Washington Redskins,boxscore,40,30,315,0,521,2
1,12,Sun,2013-11-24,W,Arizona Cardinals,,Indianapolis Colts,boxscore,40,11,410,0,239,1
1,7,Sun,2021-10-24,W,Arizona Cardinals,,Houston Texans,boxscore,31,5,397,1,160,1
1,1,Sun,1968-09-15,W,Dallas Cowboys,,Detroit Lions,boxscore,59,13,542,0,257,4
1,Division,Sun,1996-01-07,W,Dallas Cowboys,,Philadelphia Eagles,boxscore,30,11,397,1,227,1
1,13,Mon,2004-12-06,W,Dallas Cowboys,@,Seattle Seahawks,boxscore,43,39,405,2,507,2
1,18,Sat,2022-01-08,W,Dallas Cowboys,@,Philadelphia Eagles,boxscore,51,26,475,0,315,1
1,2,Sun,1976-09-19,W,Denver Broncos,,New York Jets,boxscore,46,3,543,1,185,2
1,12,Sun,1996-11-17,W,Denver Broncos,@,New England Patriots,boxscore,34,8,422,1,218,1
1,13,Sun,2003-11-30,W,Denver Broncos,@,Oakland Raiders,boxscore,22,8,287,1,262,3
1,14,Sun,2013-12-08,W,Denver Broncos,,Tennessee Titans,boxscore,51,28,551,0,254,2
1,1,Sun,1983-09-04,W,Detroit Lions,@,Tampa Bay Buccaneers,boxscore,11,0,313,2,231,3
1,12,Thu,1990-11-22,W,Detroit Lions,,Denver Broncos,boxscore,40,27,421,1,284,2
1,13,Sun,2004-12-05,W,Detroit Lions,,Arizona Cardinals,boxscore,26,12,398,1,254,4
1,10,Sun,1926-11-21,W,Duluth Eskimos,@,Canton Bulldogs,boxscore,10,2,0,0,0,0
1,5,Sat,1925-10-17,W,Frankford Yellow Jackets,,New York Giants,boxscore,5,3,0,0,0,0
1,5,Sat,1927-10-15,W,Frankford Yellow Jackets,,Buffalo Bisons,boxscore,54,0,0,0,0,0
1,3,Sun,1929-10-06,W,Green Bay Packers,,Chicago Cardinals,boxscore,9,2,0,0,0,0
1,12,Sun,1940-11-24,W,Green Bay Packers,@,Detroit Lions,boxscore,50,7,314,0,253,7
1,12,Sun,1941-11-23,W,Green Bay Packers,@,Pittsburgh Steelers,boxscore,54,7,271,0,266,10
1,3,Sun,1945-10-07,W,Green Bay Packers,,Detroit Lions,boxscore,57,21,293,1,385,7
1,7,Mon,1983-10-17,W,Green Bay Packers,,Washington Redskins,boxscore,48,47,473,1,552,1
1,5,Sun,1985-10-06,W,Green Bay Packers,,Detroit Lions,boxscore,43,10,512,1,373,6
1,13,Thu,1986-11-27,W,Green Bay Packers,@,Detroit Lions,boxscore,44,40,367,3,338,2
1,2,Mon,1996-09-09,W,Green Bay Packers,,Philadelphia Eagles,boxscore,39,13,432,0,259,4
1,5,Sun,2005-10-09,W,Green Bay Packers,,New Orleans Saints,boxscore,52,3,309,0,254,5
1,Wild Card,Sat,1996-12-28,W,Dallas Cowboys,,Minnesota Vikings,boxscore,40,15,438,2,268,6
1,13,Sun,2022-12-04,W,Dallas Cowboys,,Indianapolis Colts,boxscore,54,19,385,1,309,5
1,12,Sun,1960-11-27,T,Denver Broncos,,Buffalo Bills,boxscore,38,38,384,5,377,3
1,4,Sun,2011-10-02,W,Green Bay Packers,,Denver Broncos,boxscore,49,23,507,2,384,4
1,14,Sun,2011-12-11,W,Green Bay Packers,,Oakland Raiders,boxscore,46,16,391,1,357,5
1,11,Sun,2014-11-16,W,Green Bay Packers,,Philadelphia Eagles,boxscore,53,20,475,0,429,4
1,1,Sun,2020-09-13,W,Green Bay Packers,@,Minnesota Vikings,boxscore,43,34,522,0,382,1
