Rk,Week,Day,Date,,Winner/tie,,Loser/tie,,PtsW,PtsL,YdsW,TOW,YdsL,TOL
1,12,Mon,1946-11-25,W,Los Angeles Dons,@,Miami Seahawks,boxscore,34,21,323,4,133,3
2,13,Sun,1948-11-21,W,Cleveland Browns,@,New York Yankees,boxscore,34,21,344,1,247,3
3,10,Sun,1952-11-30,W,Los Angeles Rams,@,San Francisco 49ers,boxscore,34,21,388,3,208,3
4,7,Sun,1955-11-06,W,Washington Redskins,,Philadelphia Eagles,boxscore,34,21,288,2,380,6
5,2,Sun,1962-09-16,W,Boston Patriots,,Houston Oilers,boxscore,34,21,430,1,461,5
6,13,Sat,1962-12-08,W,Baltimore Colts,,Washington Redskins,boxscore,34,21,449,2,393,6
7,9,Sun,1965-11-14,W,Cleveland Browns,,New York Giants,boxscore,34,21,459,2,347,2
8,5,Sun,1969-10-19,W,Los Angeles Rams,,Green Bay Packers,boxscore,34,21,312,0,189,3
9,7,Sun,1971-10-31,W,Baltimore Colts,,Pittsburgh Steelers,boxscore,34,21,383,2,181,2
10,10,Sun,1972-11-19,W,San Francisco 49ers,@,Chicago Bears,boxscore,34,21,376,0,356,3
11,7,Sun,1973-10-28,W,Oakland Raiders,@,Baltimore Colts,boxscore,34,21,442,1,326,3
12,7,Sun,1974-10-27,W,Houston Oilers,@,Cincinnati Bengals,boxscore,34,21,254,0,415,6
13,14,Sun,1975-12-21,W,Baltimore Colts,,New England Patriots,boxscore,34,21,299,2,280,5
14,Division,Sat,1977-12-24,W,Denver Broncos,,Pittsburgh Steelers,boxscore,34,21,258,1,304,4
15,11,Mon,1978-11-13,W,Oakland Raiders,@,Cincinnati Bengals,boxscore,34,21,201,0,448,7
16,9,Sun,1980-11-02,W,New England Patriots,,New York Jets,boxscore,34,21,273,2,335,4
17,10,Sun,1980-11-09,W,Philadelphia Eagles,@,New Orleans Saints,boxscore,34,21,454,1,411,2
18,9,Sun,1981-11-01,W,Cincinnati Bengals,,Houston Oilers,boxscore,34,21,422,1,433,4
19,9,Sun,1983-10-30,W,Seattle Seahawks,@,Los Angeles Raiders,boxscore,34,21,352,1,380,5
20,8,Sun,1984-10-21,W,San Francisco 49ers,@,Houston Oilers,boxscore,34,21,517,1,432,3
21,14,Sun,1984-12-02,W,Los Angeles Rams,,New Orleans Saints,boxscore,34,21,341,4,224,5
22,8,Mon,1985-10-28,W,Los Angeles Raiders,,San Diego Chargers,boxscore,34,21,408,3,324,1
23,12,Sun,1987-11-29,W,St. Louis Cardinals,@,Atlanta Falcons,boxscore,34,21,476,2,267,4
24,13,Sun,1987-12-06,W,Los Angeles Raiders,,Buffalo Bills,boxscore,34,21,494,0,387,1
25,15,Sun,1987-12-20,W,Seattle Seahawks,@,Chicago Bears,boxscore,34,21,300,0,437,5
26,12,Sun,1995-11-19,W,Dallas Cowboys,@,Oakland Raiders,boxscore,34,21,336,1,449,3
27,5,Mon,1997-09-29,W,San Francisco 49ers,@,Carolina Panthers,boxscore,34,21,368,1,254,4
28,13,Sun,1999-12-05,W,St. Louis Rams,@,Carolina Panthers,boxscore,34,21,480,3,307,3
29,17,Sun,2000-12-24,W,Pittsburgh Steelers,@,San Diego Chargers,boxscore,34,21,316,2,171,2
30,5,Sun,2001-10-14,W,Seattle Seahawks,,Denver Broncos,boxscore,34,21,254,1,281,3
31,14,Mon,2001-12-17,W,St. Louis Rams,@,New Orleans Saints,boxscore,34,21,365,2,310,2
32,5,Mon,2002-10-07,W,Green Bay Packers,@,Chicago Bears,boxscore,34,21,457,1,380,4
33,15,Sun,2002-12-15,W,Philadelphia Eagles,,Washington Redskins,boxscore,34,21,320,1,292,3
34,14,Sun,2003-12-07,W,Green Bay Packers,,Chicago Bears,boxscore,34,21,307,1,275,5
35,5,Sun,2004-10-10,W,San Diego Chargers,,Jacksonville Jaguars,boxscore,34,21,386,0,429,3
36,10,Sun,2005-11-13,W,Pittsburgh Steelers,,Cleveland Browns,boxscore,34,21,382,0,303,2
37,2,Sun,2007-09-16,W,Houston Texans,@,Carolina Panthers,boxscore,34,21,346,1,353,3
38,1,Sun,2008-09-07,W,Atlanta Falcons,,Detroit Lions,boxscore,34,21,474,0,316,1
39,17,Sun,2008-12-28,W,Arizona Cardinals,,Seattle Seahawks,boxscore,34,21,457,2,330,3
40,1,Sun,2009-09-13,W,Dallas Cowboys,@,Tampa Bay Buccaneers,boxscore,34,21,462,0,450,0
41,8,Sun,2009-11-01,W,Carolina Panthers,@,Arizona Cardinals,boxscore,34,21,355,0,320,6
42,6,Sun,2015-10-18,W,Cincinnati Bengals,@,Buffalo Bills,boxscore,34,21,355,0,368,1
43,9,Thu,2017-11-02,W,New York Jets,,Buffalo Bills,boxscore,34,21,331,0,307,3
