Rk,Week,Day,Date,,Winner/tie,,Loser/tie,,PtsW,PtsL,YdsW,TOW,YdsL,TOL
1,5,Sun,1931-10-11,W,Green Bay Packers,,Chicago Cardinals,boxscore,26,7,0,0,0,0
2,Champ,Sun,1935-12-15,W,Detroit Lions,,New York Giants,boxscore,26,7,297,2,194,2
3,6,Sun,1936-10-18,W,Chicago Bears,,Pittsburgh Pirates,boxscore,26,7,0,0,0,0
4,7,Sun,1939-10-22,W,Green Bay Packers,,Detroit Lions,boxscore,26,7,317,0,196,3
5,6,Sun,1942-10-18,W,Chicago Bears,,New York Giants,boxscore,26,7,335,4,220,4
6,5,Sun,1946-10-06,W,Cleveland Browns,,Brooklyn Dodgers,boxscore,26,7,259,1,177,6
7,3,Sun,1950-10-01,W,Pittsburgh Steelers,@,Washington Redskins,boxscore,26,7,238,2,289,2
8,10,Sun,1963-11-17,W,Chicago Bears,,Green Bay Packers,boxscore,26,7,317,0,232,7
9,10,Sun,1968-11-10,W,New York Jets,,Houston Oilers,boxscore,26,7,311,1,166,3
10,11,Sun,1974-11-24,W,Washington Redskins,,Philadelphia Eagles,boxscore,26,7,303,0,214,5
11,11,Sun,1976-11-21,W,Oakland Raiders,@,Philadelphia Eagles,boxscore,26,7,383,2,207,1
12,13,Sun,1976-12-05,W,Dallas Cowboys,@,Philadelphia Eagles,boxscore,26,7,365,1,176,0
13,2,Sun,1979-09-09,W,Chicago Bears,,Minnesota Vikings,boxscore,26,7,329,2,159,1
14,4,Mon,1979-09-24,W,Cleveland Browns,,Dallas Cowboys,boxscore,26,7,311,1,394,5
15,5,Sun,1980-10-05,W,Seattle Seahawks,@,Houston Oilers,boxscore,26,7,303,2,242,6
16,9,Sun,1981-11-01,W,New York Jets,@,New York Giants,boxscore,26,7,299,1,166,3
17,11,Sun,1982-11-21,W,Green Bay Packers,,Minnesota Vikings,boxscore,26,7,359,1,184,1
18,14,Sun,1985-12-08,W,Minnesota Vikings,,Tampa Bay Buccaneers,boxscore,26,7,474,5,327,6
19,4,Sun,1986-09-28,W,New York Jets,@,Indianapolis Colts,boxscore,26,7,251,5,282,4
20,17,Sun,1990-12-30,W,Atlanta Falcons,,Dallas Cowboys,boxscore,26,7,243,3,151,2
21,2,Sun,1992-09-13,W,Kansas City Chiefs,,Seattle Seahawks,boxscore,26,7,321,1,189,4
22,11,Sun,1994-11-13,W,Cleveland Browns,@,Philadelphia Eagles,boxscore,26,7,298,1,288,2
23,15,Mon,1996-12-09,W,Oakland Raiders,,Kansas City Chiefs,boxscore,26,7,315,0,169,1
24,3,Sun,1997-09-14,W,Carolina Panthers,@,San Diego Chargers,boxscore,26,7,279,1,251,4
25,14,Sun,1999-12-12,W,San Francisco 49ers,,Atlanta Falcons,boxscore,26,7,334,0,105,2
26,4,Sun,2001-10-07,W,Baltimore Ravens,,Tennessee Titans,boxscore,26,7,460,0,185,2
27,10,Sun,2002-11-10,W,Jacksonville Jaguars,,Washington Redskins,boxscore,26,7,309,0,307,3
28,11,Sun,2002-11-17,W,Miami Dolphins,,Baltimore Ravens,boxscore,26,7,337,0,157,1
29,12,Mon,2005-11-28,W,Indianapolis Colts,,Pittsburgh Steelers,boxscore,26,7,366,1,197,2
30,17,Sun,2006-12-31,W,Green Bay Packers,@,Chicago Bears,boxscore,26,7,373,1,316,6
31,9,Sun,2008-11-02,W,Philadelphia Eagles,@,Seattle Seahawks,boxscore,26,7,419,1,233,0
32,15,Sun,2009-12-20,W,Carolina Panthers,,Minnesota Vikings,boxscore,26,7,397,0,237,2
33,14,Sun,2020-12-13,W,Arizona Cardinals,@,New York Giants,boxscore,26,7,390,0,159,3
34,2,Sun,2021-09-19,W,Carolina Panthers,,New Orleans Saints,boxscore,26,7,383,1,128,2
