Rk,Week,Day,Date,,Winner/tie,,Loser/tie,,PtsW,PtsL,YdsW,TOW,YdsL,TOL
1,3,Sun,1939-09-24,W,Green Bay Packers,,Chicago Bears,boxscore,21,16,229,1,198,2
2,4,Sun,1947-09-21,W,New York Yankees,@,San Francisco 49ers,boxscore,21,16,166,2,337,4
3,12,Sun,1958-12-14,W,Chicago Bears,,Detroit Lions,boxscore,21,16,226,5,314,2
4,5,Sun,1959-10-25,W,New York Giants,@,Pittsburgh Steelers,boxscore,21,16,279,4,243,6
5,4,Sun,1961-10-08,W,Philadelphia Eagles,,Pittsburgh Steelers,boxscore,21,16,227,5,281,1
6,13,Sun,1966-12-04,W,Baltimore Colts,,Chicago Bears,boxscore,21,16,260,2,296,3
7,10,Sun,1969-11-16,W,Oakland Raiders,,San Diego Chargers,boxscore,21,16,309,4,224,3
8,11,Sun,1972-11-26,W,Washington Redskins,,Green Bay Packers,boxscore,21,16,281,1,187,1
9,4,Sun,1973-10-07,W,New Orleans Saints,,Chicago Bears,boxscore,21,16,282,1,253,2
10,8,Mon,1973-11-05,W,Pittsburgh Steelers,,Washington Redskins,boxscore,21,16,255,4,190,4
11,11,Sun,1973-11-25,W,Cleveland Browns,,Pittsburgh Steelers,boxscore,21,16,250,4,380,2
12,10,Sun,1974-11-17,W,New York Jets,@,New England Patriots,boxscore,21,16,222,2,283,4
13,10,Sun,1976-11-14,W,Atlanta Falcons,,San Francisco 49ers,boxscore,21,16,289,0,302,4
14,6,Sun,1977-10-23,W,Kansas City Chiefs,@,San Diego Chargers,boxscore,21,16,285,2,342,4
15,10,Sun,1977-11-20,W,St. Louis Cardinals,,Philadelphia Eagles,boxscore,21,16,368,2,276,2
16,14,Sun,1977-12-18,W,Houston Oilers,,Cincinnati Bengals,boxscore,21,16,332,3,241,2
17,3,Sun,1980-09-21,W,Houston Oilers,,Baltimore Colts,boxscore,21,16,392,5,240,1
18,4,Sun,1980-09-28,W,Miami Dolphins,,New Orleans Saints,boxscore,21,16,424,5,263,3
19,15,Sun,1980-12-14,W,Pittsburgh Steelers,,Kansas City Chiefs,boxscore,21,16,285,3,198,1
20,15,Mon,1981-12-14,W,Los Angeles Rams,,Atlanta Falcons,boxscore,21,16,273,5,252,2
21,14,Sun,1982-12-12,W,Los Angeles Raiders,@,Kansas City Chiefs,boxscore,21,16,343,3,285,0
22,2,Sun,1987-09-20,W,Minnesota Vikings,@,Los Angeles Rams,boxscore,21,16,353,2,210,2
23,16,Sun,1987-12-27,W,Dallas Cowboys,,St. Louis Cardinals,boxscore,21,16,285,0,422,2
24,2,Sun,1990-09-16,W,Cincinnati Bengals,@,San Diego Chargers,boxscore,21,16,302,3,417,3
25,5,Sun,1991-09-29,W,Dallas Cowboys,,New York Giants,boxscore,21,16,327,1,487,3
26,8,Sun,1994-10-23,W,Detroit Lions,,Chicago Bears,boxscore,21,16,232,3,402,4
27,7,Mon,1997-10-13,W,Washington Redskins,,Dallas Cowboys,boxscore,21,16,255,1,290,1
28,6,Sun,1997-10-05,W,Green Bay Packers,,Tampa Bay Buccaneers,boxscore,21,16,234,1,372,2
29,2,Sun,1998-09-13,W,Jacksonville Jaguars,,Kansas City Chiefs,boxscore,21,16,256,0,364,2
30,6,Sun,1998-10-11,W,Denver Broncos,@,Seattle Seahawks,boxscore,21,16,373,2,319,1
31,9,Sun,1998-11-01,W,New England Patriots,@,Indianapolis Colts,boxscore,21,16,370,1,310,2
32,15,Sun,1998-12-13,W,New York Jets,@,Miami Dolphins,boxscore,21,16,314,2,357,2
33,8,Sun,1999-10-31,W,Cleveland Browns,@,New Orleans Saints,boxscore,21,16,243,1,351,5
34,1,Sun,2000-09-03,W,New York Giants,,Arizona Cardinals,boxscore,21,16,395,2,355,4
35,1,Sun,2000-09-03,W,Tampa Bay Buccaneers,@,New England Patriots,boxscore,21,16,296,1,278,1
36,12,Sun,2001-12-02,W,Pittsburgh Steelers,,Minnesota Vikings,boxscore,21,16,364,2,385,3
37,11,Mon,2002-11-18,W,St. Louis Rams,,Chicago Bears,boxscore,21,16,388,2,220,0
38,16,Sat,2003-12-20,W,New England Patriots,@,New York Jets,boxscore,21,16,271,1,321,5
39,8,Sun,2005-10-30,W,New England Patriots,,Buffalo Bills,boxscore,21,16,273,2,394,2
40,13,Sun,2005-12-04,W,Minnesota Vikings,@,Detroit Lions,boxscore,21,16,345,0,223,1
41,13,Sun,2007-12-02,W,New York Giants,@,Chicago Bears,boxscore,21,16,356,4,312,0
42,Wild Card,Sun,2011-01-09,W,Green Bay Packers,@,Philadelphia Eagles,boxscore,21,16,309,2,352,1
43,2,Sun,2019-09-15,W,Green Bay Packers,,Minnesota Vikings,boxscore,21,16,335,2,421,4
44,3,Sun,2020-09-27,W,Carolina Panthers,@,Los Angeles Chargers,boxscore,21,16,302,0,436,4
45,13,Sun,2020-12-06,W,New Orleans Saints,@,Atlanta Falcons,boxscore,21,16,424,1,332,1
46,18,Sun,2022-01-09,W,Cleveland Browns,,Cincinnati Bengals,boxscore,21,16,376,2,182,0
47,10,Sun,2022-11-13,W,Tampa Bay Buccaneers,,Seattle Seahawks,boxscore,21,16,419,2,283,1
