Rk,Week,Day,Date,,Winner/tie,,Loser/tie,,PtsW,PtsL,YdsW,TOW,YdsL,TOL
1,1,Sun,1938-09-11,W,Washington Redskins,@,Philadelphia Eagles,boxscore,26,23,0,0,0,0
2,4,Sun,1972-10-08,W,Detroit Lions,@,Atlanta Falcons,boxscore,26,23,314,4,278,1
3,10,Sun,1975-11-23,W,Oakland Raiders,@,Washington Redskins,boxscore,26,23,406,5,337,2
4,14,Sun,1975-12-21,W,New York Giants,@,San Francisco 49ers,boxscore,26,23,328,1,350,1
5,10,Sun,1978-11-05,W,Los Angeles Rams,,Tampa Bay Buccaneers,boxscore,26,23,344,1,341,5
6,11,Sun,1978-11-12,W,Houston Oilers,@,New England Patriots,boxscore,26,23,322,4,274,4
7,1,Sun,1980-09-07,W,San Francisco 49ers,@,New Orleans Saints,boxscore,26,23,350,2,394,0
8,17,Sun,1983-01-02,W,Tampa Bay Buccaneers,,Chicago Bears,boxscore,26,23,424,3,248,1
9,1,Sun,1985-09-08,W,Houston Oilers,,Miami Dolphins,boxscore,26,23,394,4,360,3
10,15,Sun,1985-12-15,W,Green Bay Packers,@,Detroit Lions,boxscore,26,23,306,2,426,5
11,8,Sun,1987-11-01,W,New England Patriots,,Los Angeles Raiders,boxscore,26,23,406,1,330,2
12,Wild Card,Sun,1989-12-31,W,Pittsburgh Steelers,@,Houston Oilers,boxscore,26,23,289,1,380,2
13,8,Sun,1991-10-20,W,New England Patriots,,Minnesota Vikings,boxscore,26,23,399,2,444,2
14,11,Sun,1991-11-10,W,Houston Oilers,,Dallas Cowboys,boxscore,26,23,583,1,291,1
15,11,Sun,1993-11-14,W,Minnesota Vikings,@,Denver Broncos,boxscore,26,23,427,3,342,4
16,5,Sun,1995-10-01,W,Miami Dolphins,@,Cincinnati Bengals,boxscore,26,23,490,1,342,0
17,12,Mon,1998-11-23,W,New England Patriots,,Miami Dolphins,boxscore,26,23,455,2,322,1
18,5,Sun,1999-10-10,W,Green Bay Packers,,Tampa Bay Buccaneers,boxscore,26,23,450,1,273,4
19,11,Sun,2000-11-12,W,Philadelphia Eagles,@,Pittsburgh Steelers,boxscore,26,23,290,1,322,1
20,14,Sun,2001-12-16,W,Kansas City Chiefs,,Denver Broncos,boxscore,26,23,396,3,335,1
21,16,Sun,2001-12-30,W,Cincinnati Bengals,,Pittsburgh Steelers,boxscore,26,23,544,3,313,5
22,14,Sun,2005-12-11,W,New York Giants,@,Philadelphia Eagles,boxscore,26,23,437,3,337,1
23,17,Sun,2006-12-31,W,San Francisco 49ers,@,Denver Broncos,boxscore,26,23,360,1,325,3
24,3,Sun,2007-09-23,W,Baltimore Ravens,,Arizona Cardinals,boxscore,26,23,381,1,364,1
25,3,Sun,2008-09-21,W,New York Giants,,Cincinnati Bengals,boxscore,26,23,406,0,347,0
26,14,Sun,2009-12-13,W,New Orleans Saints,@,Atlanta Falcons,boxscore,26,23,391,0,392,1
27,3,Sun,2011-09-25,W,Detroit Lions,@,Minnesota Vikings,boxscore,26,23,358,0,321,0
28,10,Sun,2011-11-13,W,New Orleans Saints,@,Atlanta Falcons,boxscore,26,23,363,0,481,1
29,1,Sun,2012-09-09,W,Minnesota Vikings,,Jacksonville Jaguars,boxscore,26,23,389,1,355,1
30,6,Sun,2012-10-14,W,Detroit Lions,@,Philadelphia Eagles,boxscore,26,23,449,1,357,3
31,6,Thu,2012-10-11,W,Tennessee Titans,,Pittsburgh Steelers,boxscore,26,23,359,1,412,1
32,7,Sun,2012-10-21,W,Oakland Raiders,,Jacksonville Jaguars,boxscore,26,23,351,3,209,1
33,5,Sun,2013-10-06,W,Baltimore Ravens,@,Miami Dolphins,boxscore,26,23,384,2,294,0
34,6,Sun,2015-10-18,W,Denver Broncos,@,Cleveland Browns,boxscore,26,23,442,3,298,3
35,6,Sun,2016-10-16,W,Houston Texans,,Indianapolis Colts,boxscore,26,23,414,1,392,1
36,14,Sun,2016-12-11,W,Miami Dolphins,,Arizona Cardinals,boxscore,26,23,314,3,300,4
37,5,Sun,2017-10-08,W,Indianapolis Colts,,San Francisco 49ers,boxscore,26,23,447,1,402,0
38,4,Sun,2018-09-30,W,Tennessee Titans,,Philadelphia Eagles,boxscore,26,23,397,1,432,1
39,7,Sun,2018-10-21,W,Tampa Bay Buccaneers,,Cleveland Browns,boxscore,26,23,456,4,305,1
40,15,Sun,2018-12-16,W,San Francisco 49ers,,Seattle Seahawks,boxscore,26,23,351,1,385,0
41,Conf. Champ,Sun,2019-01-20,W,Los Angeles Rams,@,New Orleans Saints,boxscore,26,23,378,1,290,1
42,5,Sun,2019-10-06,W,Baltimore Ravens,@,Pittsburgh Steelers,boxscore,26,23,277,3,269,2
43,5,Sun,2019-10-06,W,Arizona Cardinals,@,Cincinnati Bengals,boxscore,26,23,514,0,370,0
44,9,Sun,2019-11-03,W,Kansas City Chiefs,,Minnesota Vikings,boxscore,26,23,377,1,308,0
45,3,Sun,2020-09-27,W,Detroit Lions,@,Arizona Cardinals,boxscore,26,23,322,0,377,3
46,8,Sun,2020-11-01,W,New Orleans Saints,@,Chicago Bears,boxscore,26,23,394,0,329,1
47,17,Sun,2021-01-03,W,Seattle Seahawks,@,San Francisco 49ers,boxscore,26,23,280,0,328,1
48,14,Sun,2021-12-12,W,San Francisco 49ers,@,Cincinnati Bengals,boxscore,26,23,355,0,397,2
