Rk,Week,Day,Date,,Winner/tie,,Loser/tie,,PtsW,PtsL,YdsW,TOW,YdsL,TOL
1,9,Sun,1929-11-17,W,Providence Steam Roller,,Minneapolis Red Jackets,boxscore,19,16,0,0,0,0
2,13,Thu,1934-11-29,W,Chicago Bears,@,Detroit Lions,boxscore,19,16,193,2,238,2
3,10,Sun,1961-11-12,W,San Diego Chargers,@,Denver Broncos,boxscore,19,16,209,3,358,5
4,14,Sun,1963-12-15,W,Baltimore Colts,,Los Angeles Rams,boxscore,19,16,526,4,341,4
5,11,Sun,1972-11-26,W,New Orleans Saints,,Los Angeles Rams,boxscore,19,16,260,0,309,0
6,14,Sun,1979-12-02,W,Denver Broncos,@,Buffalo Bills,boxscore,19,16,226,4,398,7
7,5,Sun,1980-10-05,W,Denver Broncos,@,Cleveland Browns,boxscore,19,16,239,1,358,1
8,3,Sun,1983-09-18,W,Minnesota Vikings,@,Tampa Bay Buccaneers,boxscore,19,16,354,0,306,2
9,16,Fri,1984-12-14,W,San Francisco 49ers,,Los Angeles Rams,boxscore,19,16,289,0,355,1
10,12,Sun,1985-11-24,W,Tampa Bay Buccaneers,,Detroit Lions,boxscore,19,16,288,0,273,1
11,12,Sun,1986-11-23,W,New York Giants,,Denver Broncos,boxscore,19,16,262,2,405,4
12,5,Sun,1987-10-11,W,Detroit Lions,@,Green Bay Packers,boxscore,19,16,342,2,273,3
13,16,Sun,1989-12-24,W,San Diego Chargers,,Denver Broncos,boxscore,19,16,387,6,206,3
14,3,Sun,1990-09-23,W,Chicago Bears,,Minnesota Vikings,boxscore,19,16,255,1,285,2
15,8,Sun,1991-10-20,W,Denver Broncos,,Kansas City Chiefs,boxscore,19,16,324,0,328,0
16,10,Sun,1991-11-03,W,New York Jets,,Green Bay Packers,boxscore,19,16,293,1,262,3
17,12,Sun,1992-11-22,W,Miami Dolphins,,Houston Oilers,boxscore,19,16,293,2,297,3
18,2,Sun,1993-09-12,W,Detroit Lions,@,New England Patriots,boxscore,19,16,340,4,292,3
19,3,Sun,1993-09-19,W,Cleveland Browns,@,Los Angeles Raiders,boxscore,19,16,316,4,156,0
20,7,Sun,1994-10-16,W,Arizona Cardinals,@,Washington Redskins,boxscore,19,16,324,3,234,5
21,13,Sun,1994-11-27,W,Chicago Bears,@,Arizona Cardinals,boxscore,19,16,318,2,244,1
22,6,Sun,1995-10-08,W,Tampa Bay Buccaneers,,Cincinnati Bengals,boxscore,19,16,299,0,312,6
23,13,Sun,1996-11-24,W,San Francisco 49ers,@,Washington Redskins,boxscore,19,16,392,1,360,0
24,10,Sun,1997-11-02,W,New York Jets,,Baltimore Ravens,boxscore,19,16,225,0,447,2
25,13,Thu,1998-11-26,W,Detroit Lions,,Pittsburgh Steelers,boxscore,19,16,283,2,293,2
26,2,Sun,1999-09-19,W,Miami Dolphins,,Arizona Cardinals,boxscore,19,16,304,4,184,4
27,14,Sun,1999-12-12,W,San Diego Chargers,@,Seattle Seahawks,boxscore,19,16,329,1,347,2
28,Division,Sun,2000-01-16,W,Tennessee Titans,@,Indianapolis Colts,boxscore,19,16,309,1,305,0
29,8,Sun,2005-10-30,W,Houston Texans,,Cleveland Browns,boxscore,19,16,237,1,325,2
30,1,Mon,2006-09-11,W,Minnesota Vikings,@,Washington Redskins,boxscore,19,16,309,0,266,0
31,3,Sun,2006-09-24,W,Chicago Bears,@,Minnesota Vikings,boxscore,19,16,325,2,286,2
32,7,Sun,2007-10-21,W,Chicago Bears,@,Philadelphia Eagles,boxscore,19,16,386,0,334,0
33,11,Sun,2007-11-18,W,New York Jets,,Pittsburgh Steelers,boxscore,19,16,297,1,263,2
34,9,Sun,2008-11-02,W,Tennessee Titans,,Green Bay Packers,boxscore,19,16,347,0,390,2
35,11,Sun,2010-11-21,W,Washington Redskins,@,Tennessee Titans,boxscore,19,16,465,1,373,2
36,12,Sun,2010-11-28,W,Pittsburgh Steelers,@,Buffalo Bills,boxscore,19,16,426,1,329,2
37,16,Thu,2011-12-22,W,Indianapolis Colts,,Houston Texans,boxscore,19,16,320,1,283,1
38,6,Sun,2012-10-14,W,Buffalo Bills,@,Arizona Cardinals,boxscore,19,16,306,2,332,2
39,7,Sun,2013-10-20,W,Pittsburgh Steelers,,Baltimore Ravens,boxscore,19,16,286,1,287,0
40,13,Mon,2015-12-07,W,Dallas Cowboys,@,Washington Redskins,boxscore,19,16,318,3,266,1
41,15,Sat,2015-12-19,W,New York Jets,@,Dallas Cowboys,boxscore,19,16,372,1,309,4
42,17,Sun,2016-01-03,W,San Francisco 49ers,,St. Louis Rams,boxscore,19,16,458,1,364,0
43,15,Sun,2016-12-18,W,Oakland Raiders,@,San Diego Chargers,boxscore,19,16,345,2,263,2
44,5,Sun,2018-10-07,W,Houston Texans,,Dallas Cowboys,boxscore,19,16,462,2,292,2
45,10,Sun,2019-11-10,W,Cleveland Browns,,Buffalo Bills,boxscore,19,16,368,0,344,0
46,12,Sun,2019-11-24,W,Washington Redskins,,Detroit Lions,boxscore,19,16,230,2,364,4
47,16,Sun,2020-12-27,W,Los Angeles Chargers,,Denver Broncos,boxscore,19,16,316,0,396,2
48,Division,Sat,2022-01-22,W,Cincinnati Bengals,@,Tennessee Titans,boxscore,19,16,345,1,353,3
49,2,Sun,2022-09-18,W,New York Giants,,Carolina Panthers,boxscore,19,16,265,0,275,2
50,6,Mon,2022-10-17,W,Los Angeles Chargers,,Denver Broncos,boxscore,19,16,297,1,258,1
51,13,Sun,2022-12-04,W,Pittsburgh Steelers,@,Atlanta Falcons,boxscore,19,16,351,0,306,1
