Rk,Week,Day,Date,,Winner/tie,,Loser/tie,,PtsW,PtsL,YdsW,TOW,YdsL,TOL
1,11,Sun,1949-11-06,W,San Francisco 49ers,@,Baltimore Colts,boxscore,28,10,415,3,227,5
2,8,Sun,1951-11-18,W,Detroit Lions,@,Philadelphia Eagles,boxscore,28,10,403,4,225,5
3,1,Sun,1954-09-26,W,Philadelphia Eagles,,Cleveland Browns,boxscore,28,10,397,3,142,4
4,2,Sun,1959-10-04,W,Green Bay Packers,,Detroit Lions,boxscore,28,10,263,2,224,5
5,4,Sun,1960-10-16,W,Philadelphia Eagles,,Detroit Lions,boxscore,28,10,329,2,276,6
6,7,Sun,1961-10-29,W,Green Bay Packers,,Minnesota Vikings,boxscore,28,10,467,3,263,2
7,7,Sun,1961-10-29,W,Detroit Lions,@,Los Angeles Rams,boxscore,28,10,409,0,258,2
8,14,Sun,1961-12-10,W,San Diego Chargers,,Buffalo Bills,boxscore,28,10,237,2,279,4
9,7,Sun,1963-10-27,W,Detroit Lions,,Minnesota Vikings,boxscore,28,10,419,3,166,0
10,11,Sun,1963-11-24,W,Green Bay Packers,,San Francisco 49ers,boxscore,28,10,365,0,235,1
11,3,Sun,1966-09-25,W,Detroit Lions,,Atlanta Falcons,boxscore,28,10,344,3,259,3
12,15,Sun,1966-12-11,W,Oakland Raiders,,Denver Broncos,boxscore,28,10,377,1,202,2
13,5,Sun,1968-10-13,W,Detroit Lions,@,Chicago Bears,boxscore,28,10,405,1,241,2
14,14,Sun,1968-12-15,W,Dallas Cowboys,@,New York Giants,boxscore,28,10,320,3,319,1
15,6,Sun,1969-10-26,W,Green Bay Packers,,Atlanta Falcons,boxscore,28,10,337,4,219,3
16,2,Sun,1970-09-27,W,Dallas Cowboys,,New York Giants,boxscore,28,10,360,2,238,3
17,10,Sun,1971-11-21,W,Kansas City Chiefs,,Denver Broncos,boxscore,28,10,387,3,319,3
18,1,Sun,1973-09-16,W,Denver Broncos,,Cincinnati Bengals,boxscore,28,10,343,1,344,1
19,Division,Sat,1975-12-27,W,Pittsburgh Steelers,,Baltimore Colts,boxscore,28,10,287,5,154,3
20,4,Sun,1977-10-09,W,Philadelphia Eagles,@,New York Giants,boxscore,28,10,326,4,259,4
21,3,Sun,1978-09-17,W,Washington Redskins,@,St. Louis Cardinals,boxscore,28,10,302,0,328,1
22,15,Sun,1979-12-09,W,Miami Dolphins,@,Detroit Lions,boxscore,28,10,321,2,182,3
23,3,Sun,1981-09-20,W,Denver Broncos,,Baltimore Colts,boxscore,28,10,442,4,209,3
24,5,Sun,1981-10-04,W,Tampa Bay Buccaneers,,Detroit Lions,boxscore,28,10,211,1,332,6
25,7,Sun,1984-10-14,W,Miami Dolphins,,Houston Oilers,boxscore,28,10,515,1,239,1
26,7,Sun,1984-10-14,W,Los Angeles Rams,@,New Orleans Saints,boxscore,28,10,353,1,299,3
27,9,Sun,1985-11-03,W,Los Angeles Rams,,New Orleans Saints,boxscore,28,10,366,3,187,3
28,16,Sat,1985-12-21,W,New York Giants,,Pittsburgh Steelers,boxscore,28,10,371,2,214,2
29,14,Sun,1987-12-13,W,Miami Dolphins,@,Philadelphia Eagles,boxscore,28,10,476,4,310,1
30,10,Sun,1988-11-06,W,Chicago Bears,,Tampa Bay Buccaneers,boxscore,28,10,338,3,357,2
31,15,Sun,1989-12-17,W,Pittsburgh Steelers,,New England Patriots,boxscore,28,10,347,1,403,3
32,Division,Sat,1991-01-12,W,San Francisco 49ers,,Washington Redskins,boxscore,28,10,338,1,441,3
33,14,Sun,1992-12-06,W,Washington Redskins,@,New York Giants,boxscore,28,10,393,0,165,0
34,9,Mon,1997-10-27,W,Green Bay Packers,@,New England Patriots,boxscore,28,10,371,1,324,4
35,8,Sun,1998-10-25,W,San Francisco 49ers,@,St. Louis Rams,boxscore,28,10,303,2,168,4
36,8,Sun,1998-10-25,W,Green Bay Packers,,Baltimore Ravens,boxscore,28,10,328,2,233,2
37,15,Sun,1999-12-19,W,Chicago Bears,,Detroit Lions,boxscore,28,10,396,2,339,4
38,11,Sun,2001-11-25,W,Oakland Raiders,@,New York Giants,boxscore,28,10,339,0,313,0
39,13,Sun,2001-12-09,W,New Orleans Saints,@,Atlanta Falcons,boxscore,28,10,379,2,230,2
40,7,Mon,2002-10-21,W,Pittsburgh Steelers,,Indianapolis Colts,boxscore,28,10,364,1,367,3
41,6,Sun,2002-10-13,W,Green Bay Packers,@,New England Patriots,boxscore,28,10,301,0,289,4
42,16,Sun,2002-12-22,W,Tennessee Titans,@,Jacksonville Jaguars,boxscore,28,10,298,0,214,1
43,11,Sun,2003-11-16,W,Philadelphia Eagles,,New York Giants,boxscore,28,10,376,1,361,1
44,16,Sun,2003-12-21,W,Seattle Seahawks,,Arizona Cardinals,boxscore,28,10,340,4,299,1
45,1,Sun,2008-09-07,W,Dallas Cowboys,@,Cleveland Browns,boxscore,28,10,487,1,205,0
46,3,Sun,2008-09-21,W,Baltimore Ravens,,Cleveland Browns,boxscore,28,10,273,2,169,3
47,9,Mon,2009-11-09,W,Pittsburgh Steelers,@,Denver Broncos,boxscore,28,10,375,2,242,3
48,6,Sun,2010-10-17,W,Pittsburgh Steelers,,Cleveland Browns,boxscore,28,10,378,1,327,3
49,12,Sun,2012-11-25,W,Chicago Bears,,Minnesota Vikings,boxscore,28,10,296,2,258,3
50,9,Thu,2014-10-30,W,New Orleans Saints,@,Carolina Panthers,boxscore,28,10,375,2,231,2
51,2,Sun,2019-09-15,W,Kansas City Chiefs,@,Oakland Raiders,boxscore,28,10,467,1,307,2
52,5,Sun,2019-10-06,W,Minnesota Vikings,@,New York Giants,boxscore,28,10,490,1,211,1
53,17,Sun,2019-12-29,W,Baltimore Ravens,,Pittsburgh Steelers,boxscore,28,10,304,2,168,2
54,3,Sun,2020-09-27,W,Tampa Bay Buccaneers,@,Denver Broncos,boxscore,28,10,353,0,226,2
