Rk,Week,Day,Date,,Winner/tie,,Loser/tie,,PtsW,PtsL,YdsW,TOW,YdsL,TOL
1,7,Sun,1922-11-12,W,Green Bay Packers,,Minneapolis Marines,boxscore,14,6,0,0,0,0
2,8,Sun,1924-11-16,W,Buffalo Bisons,,Dayton Triangles,boxscore,14,6,0,0,0,0
3,9,Sun,1925-11-15,W,Pottsville Maroons,,Rochester Jeffersons,boxscore,14,6,0,0,0,0
4,13,Sun,1925-12-13,W,Frankford Yellow Jackets,@,Providence Steam Roller,boxscore,14,6,0,0,0,0
5,7,Sun,1927-10-30,W,Chicago Bears,,Dayton Triangles,boxscore,14,6,0,0,0,0
6,10,Sun,1927-11-20,W,Chicago Bears,,Green Bay Packers,boxscore,14,6,0,0,0,0
7,6,Sun,1929-10-27,W,Boston Bulldogs,,Buffalo Bisons,boxscore,14,6,0,0,0,0
8,8,Sun,1929-11-10,W,Staten Island Stapletons,,Boston Bulldogs,boxscore,14,6,0,0,0,0
9,12,Sun,1930-11-30,W,Chicago Bears,,Portsmouth Spartans,boxscore,14,6,0,0,0,0
10,13,Sat,1930-12-06,W,New York Giants,@,Frankford Yellow Jackets,boxscore,14,6,,,,
11,3,Sun,1931-09-27,W,New York Giants,@,Providence Steam Roller,boxscore,14,6,0,0,0,0
12,3,Wed,1931-09-30,W,Portsmouth Spartans,,New York Giants,boxscore,14,6,0,0,0,0
13,9,Sun,1931-11-08,W,Chicago Cardinals,@,Cleveland Indians,boxscore,14,6,0,0,0,0
14,10,Sun,1931-11-15,W,Portsmouth Spartans,,Cleveland Indians,boxscore,14,6,0,0,0,0
15,4,Sun,1932-10-09,W,Boston Braves,,New York Giants,boxscore,14,6,0,0,0,0
16,8,Sun,1933-11-05,W,Green Bay Packers,@,Chicago Cardinals,boxscore,14,6,0,0,0,0
17,6,Sun,1936-10-18,W,New York Giants,,Chicago Cardinals,boxscore,14,6,258,1,298,3
18,10,Sun,1936-11-15,W,Chicago Cardinals,,Pittsburgh Pirates,boxscore,14,6,0,0,0,0
19,13,Sun,1936-12-06,W,Detroit Lions,,Brooklyn Dodgers,boxscore,14,6,0,0,0,0
20,13,Sun,1937-11-28,W,Washington Redskins,,Green Bay Packers,boxscore,14,6,0,0,0,0
21,13,Sun,1940-12-01,W,Brooklyn Dodgers,@,New York Giants,boxscore,14,6,340,3,163,2
22,Champ,Sun,1942-12-13,W,Washington Redskins,,Chicago Bears,boxscore,14,6,170,2,188,4
23,5,Sun,1946-10-20,W,Washington Redskins,@,Boston Yanks,boxscore,14,6,256,2,133,3
24,14,Thu,1949-11-24,W,Cleveland Browns,,Chicago Hornets,boxscore,14,6,235,5,198,4
25,11,Sun,1957-12-08,W,Chicago Bears,@,Chicago Cardinals,boxscore,14,6,374,3,195,2
26,8,Sun,1961-10-29,W,New York Titans,@,Oakland Raiders,boxscore,14,6,287,1,137,3
27,7,Sat,1962-10-20,W,Buffalo Bills,,Oakland Raiders,boxscore,14,6,252,1,290,2
28,9,Sun,1962-11-04,W,Houston Oilers,@,Dallas Texans,boxscore,14,6,335,1,263,3
29,8,Sun,1969-11-09,W,Baltimore Colts,,Green Bay Packers,boxscore,14,6,251,3,298,2
30,3,Sun,1970-10-04,W,Baltimore Colts,@,Boston Patriots,boxscore,14,6,236,1,240,1
31,6,Sun,1973-10-21,W,Cincinnati Bengals,,Kansas City Chiefs,boxscore,14,6,334,3,267,3
32,3,Sun,1974-09-29,W,New York Giants,@,Dallas Cowboys,boxscore,14,6,307,1,333,5
33,11,Sun,1977-11-27,W,New England Patriots,,Philadelphia Eagles,boxscore,14,6,282,3,217,3
34,14,Sun,1977-12-18,W,Dallas Cowboys,,Denver Broncos,boxscore,14,6,262,2,178,1
35,1,Sun,1978-09-03,W,Denver Broncos,,Oakland Raiders,boxscore,14,6,152,1,318,3
36,13,Sun,1979-11-25,W,New York Giants,,Washington Redskins,boxscore,14,6,267,1,225,1
37,4,Sun,1983-09-25,W,Miami Dolphins,,Kansas City Chiefs,boxscore,14,6,279,7,155,5
38,8,Sun,1983-10-23,W,Denver Broncos,,San Diego Chargers,boxscore,14,6,261,4,299,3
39,3,Sun,1985-09-22,W,Indianapolis Colts,,Detroit Lions,boxscore,14,6,355,3,204,2
40,5,Sun,1986-10-05,W,Washington Redskins,@,New Orleans Saints,boxscore,14,6,299,0,237,1
41,11,Mon,1986-11-17,W,Washington Redskins,,San Francisco 49ers,boxscore,14,6,266,2,501,4
42,3,Sun,1995-09-17,W,Green Bay Packers,,New York Giants,boxscore,14,6,198,0,303,1
43,4,Sun,1995-09-24,W,Tampa Bay Buccaneers,,Washington Redskins,boxscore,14,6,236,1,311,2
44,9,Mon,1995-10-30,W,Chicago Bears,@,Minnesota Vikings,boxscore,14,6,311,1,297,1
45,8,Sun,2000-10-22,W,Tennessee Titans,@,Baltimore Ravens,boxscore,14,6,191,2,368,4
46,17,Sun,2006-12-31,W,Houston Texans,,Cleveland Browns,boxscore,14,6,177,1,306,3
47,6,Sun,2009-10-18,W,Kansas City Chiefs,@,Washington Redskins,boxscore,14,6,268,0,265,2
48,2,Sun,2013-09-15,W,Baltimore Ravens,,Cleveland Browns,boxscore,14,6,296,1,259,0
49,11,Sun,2014-11-16,W,Arizona Cardinals,,Detroit Lions,boxscore,14,6,352,2,262,1
