Rk,Week,Day,Date,,Winner/tie,,Loser/tie,,PtsW,PtsL,YdsW,TOW,YdsL,TOL
1,6,Sun,1946-10-27,W,Chicago Cardinals,,Los Angeles Rams,boxscore,34,10,359,3,336,6
2,11,Thu,1946-11-28,W,Boston Yanks,@,Detroit Lions,boxscore,34,10,424,2,266,3
3,13,Sun,1947-12-14,W,Los Angeles Rams,,New York Giants,boxscore,34,10,382,5,235,5
4,13,Sun,1960-12-18,W,San Francisco 49ers,,Baltimore Colts,boxscore,34,10,251,2,177,3
5,7,Sun,1964-10-25,W,Philadelphia Eagles,@,Pittsburgh Steelers,boxscore,34,10,391,2,305,2
6,14,Sun,1967-12-17,W,Los Angeles Rams,,Baltimore Colts,boxscore,34,10,328,1,262,2
7,12,Sun,1968-11-24,W,Miami Dolphins,@,Boston Patriots,boxscore,34,10,391,0,337,3
8,5,Sun,1971-10-17,W,Oakland Raiders,,Philadelphia Eagles,boxscore,34,10,412,2,226,3
9,2,Sun,1972-09-24,W,Minnesota Vikings,@,Detroit Lions,boxscore,34,10,286,0,213,5
10,7,Sun,1972-10-29,W,New York Jets,,New England Patriots,boxscore,34,10,392,2,194,3
11,2,Sun,1973-09-23,W,New York Jets,@,Baltimore Colts,boxscore,34,10,276,1,277,8
12,Division,Sun,1978-12-31,W,Los Angeles Rams,,Minnesota Vikings,boxscore,34,10,409,1,244,2
13,7,Sun,1979-10-14,W,Cincinnati Bengals,,Pittsburgh Steelers,boxscore,34,10,284,4,327,9
14,5,Mon,1983-10-03,W,New York Jets,@,Buffalo Bills,boxscore,34,10,416,2,216,5
15,3,Sun,1985-09-22,W,San Francisco 49ers,@,Los Angeles Raiders,boxscore,34,10,352,2,280,3
16,2,Sun,1987-09-20,W,Cleveland Browns,,Pittsburgh Steelers,boxscore,34,10,304,2,185,6
17,Division,Sun,1988-01-10,W,Denver Broncos,,Houston Oilers,boxscore,34,10,316,1,337,3
18,9,Sun,1991-10-27,W,Detroit Lions,,Dallas Cowboys,boxscore,34,10,208,0,415,4
19,Division,Sun,1993-01-10,W,Dallas Cowboys,,Philadelphia Eagles,boxscore,34,10,346,1,178,2
20,13,Sun,1994-11-27,W,Cleveland Browns,,Houston Oilers,boxscore,34,10,343,3,182,2
21,1,Sun,1995-09-03,W,Kansas City Chiefs,@,Seattle Seahawks,boxscore,34,10,419,0,342,2
22,14,Mon,1996-12-02,W,San Francisco 49ers,@,Atlanta Falcons,boxscore,34,10,466,2,178,4
23,15,Sun,1996-12-08,W,New England Patriots,,New York Jets,boxscore,34,10,367,1,244,2
24,10,Mon,2002-11-11,W,Oakland Raiders,@,Denver Broncos,boxscore,34,10,374,0,342,1
25,14,Sun,2002-12-08,W,Tampa Bay Buccaneers,,Atlanta Falcons,boxscore,34,10,421,0,181,1
26,4,Sun,2004-10-03,W,Arizona Cardinals,,New Orleans Saints,boxscore,34,10,373,1,279,2
27,1,Sun,2005-09-11,W,Miami Dolphins,,Denver Broncos,boxscore,34,10,426,3,312,3
28,13,Sun,2005-12-04,W,San Diego Chargers,,Oakland Raiders,boxscore,34,10,274,0,291,2
29,17,Sun,2006-01-01,W,Minnesota Vikings,,Chicago Bears,boxscore,34,10,396,0,251,0
30,13,Sun,2006-12-03,W,New Orleans Saints,,San Francisco 49ers,boxscore,34,10,375,0,202,3
31,3,Sun,2007-09-23,W,Dallas Cowboys,@,Chicago Bears,boxscore,34,10,431,1,239,4
32,1,Sun,2008-09-07,W,Buffalo Bills,,Seattle Seahawks,boxscore,34,10,338,0,252,2
33,7,Sun,2008-10-19,W,Tennessee Titans,@,Kansas City Chiefs,boxscore,34,10,455,0,272,0
34,14,Sun,2008-12-07,W,Arizona Cardinals,,St. Louis Rams,boxscore,34,10,335,1,308,3
35,5,Sun,2010-10-10,W,New York Giants,@,Houston Texans,boxscore,34,10,414,2,195,2
36,5,Sun,2011-10-09,W,Minnesota Vikings,,Arizona Cardinals,boxscore,34,10,332,1,291,4
37,17,Sun,2012-01-01,W,Philadelphia Eagles,,Washington Redskins,boxscore,34,10,390,2,377,1
38,12,Sun,2012-11-25,W,Cincinnati Bengals,,Oakland Raiders,boxscore,34,10,415,0,218,2
39,9,Sun,2013-11-03,W,Carolina Panthers,,Atlanta Falcons,boxscore,34,10,373,2,289,4
40,10,Sun,2018-11-11,W,Tennessee Titans,,New England Patriots,boxscore,34,10,385,0,284,0
41,10,Sun,2021-11-14,W,Carolina Panthers,@,Arizona Cardinals,boxscore,34,10,341,2,169,2
42,16,Sun,2021-12-26,W,Philadelphia Eagles,,New York Giants,boxscore,34,10,324,0,192,2
