Rk,Week,Day,Date,,Winner/tie,,Loser/tie,,PtsW,PtsL,YdsW,TOW,YdsL,TOL
1,10,Thu,1920-11-25,W,All Tonawanda,@,Rochester Jeffersons,boxscore,14,3,0,0,0,0
2,7,Sun,1921-11-06,W,Rock Island Independents,,Minneapolis Marines,boxscore,14,3,0,0,0,0
3,6,Sun,1923-11-04,W,Milwaukee Badgers,@,Rock Island Independents,boxscore,14,3,0,0,0,0
4,3,Sun,1936-09-27,W,Boston Redskins,@,Brooklyn Dodgers,boxscore,14,3,175,0,130,3
5,11,Sun,1939-11-19,W,Cleveland Rams,,Detroit Lions,boxscore,14,3,265,2,219,3
6,11,Sun,1945-12-02,W,Detroit Lions,,Green Bay Packers,boxscore,14,3,304,2,237,5
7,Champ,Sun,1947-12-14,W,Cleveland Browns,@,New York Yankees,boxscore,14,3,284,1,212,3
8,4,Sun,1949-09-18,W,Cleveland Browns,,New York Yankees,boxscore,14,3,125,3,311,3
9,10,Sun,1957-12-01,W,Washington Redskins,@,Chicago Bears,boxscore,14,3,292,3,162,4
10,8,Sun,1959-11-15,W,Chicago Bears,,San Francisco 49ers,boxscore,14,3,357,4,263,6
11,12,Sun,1964-11-29,W,Baltimore Colts,@,San Francisco 49ers,boxscore,14,3,239,2,246,8
12,1,Sun,1966-09-11,W,Detroit Lions,,Chicago Bears,boxscore,14,3,208,3,256,3
13,11,Sun,1966-11-13,W,Buffalo Bills,,New York Jets,boxscore,14,3,224,0,329,1
14,11,Sun,1966-11-20,W,Cleveland Browns,,Washington Redskins,boxscore,14,3,271,2,327,4
15,14,Sun,1966-12-04,W,Boston Patriots,,Buffalo Bills,boxscore,14,3,226,1,314,4
16,5,Sun,1967-10-15,W,Chicago Bears,,Detroit Lions,boxscore,14,3,265,3,168,3
17,14,Sun,1967-12-17,W,Detroit Lions,,Minnesota Vikings,boxscore,14,3,134,4,190,3
18,14,Sun,1968-12-15,W,Washington Redskins,,Detroit Lions,boxscore,14,3,208,2,368,4
19,1,Sun,1970-09-20,W,Atlanta Falcons,@,New Orleans Saints,boxscore,14,3,265,2,235,2
20,13,Sat,1971-12-11,W,Baltimore Colts,,Miami Dolphins,boxscore,14,3,225,0,247,2
21,Conf. Champ,Sun,1972-01-02,W,Dallas Cowboys,,San Francisco 49ers,boxscore,14,3,244,1,239,3
22,11,Sun,1975-11-30,W,Dallas Cowboys,,New York Giants,boxscore,14,3,389,2,158,3
23,10,Sun,1976-11-14,W,Pittsburgh Steelers,,Miami Dolphins,boxscore,14,3,354,0,224,0
24,13,Sun,1978-11-26,W,Chicago Bears,,Tampa Bay Buccaneers,boxscore,14,3,301,1,92,1
25,9,Sun,1979-10-28,W,Pittsburgh Steelers,,Dallas Cowboys,boxscore,14,3,288,0,278,1
26,12,Sun,1984-11-18,W,Buffalo Bills,,Dallas Cowboys,boxscore,14,3,307,2,297,3
27,6,Sun,1985-10-13,W,New England Patriots,,Buffalo Bills,boxscore,14,3,400,4,162,4
28,6,Sun,1989-10-15,W,Denver Broncos,,Indianapolis Colts,boxscore,14,3,319,2,128,1
29,1,Sun,1991-09-01,W,Kansas City Chiefs,,Atlanta Falcons,boxscore,14,3,291,1,243,6
30,1,Sun,1992-09-06,W,Indianapolis Colts,,Cleveland Browns,boxscore,14,3,236,2,145,2
31,3,Sun,1993-09-19,W,New Orleans Saints,,Detroit Lions,boxscore,14,3,258,1,170,2
32,15,Sun,1994-12-11,W,Pittsburgh Steelers,,Philadelphia Eagles,boxscore,14,3,269,2,105,1
33,15,Sun,1997-12-07,W,Atlanta Falcons,@,San Diego Chargers,boxscore,14,3,204,1,268,3
34,5,Sun,1999-10-10,W,Arizona Cardinals,,New York Giants,boxscore,14,3,206,0,285,2
35,9,Sun,2002-11-03,W,Washington Redskins,@,Seattle Seahawks,boxscore,14,3,259,1,324,2
36,Conf. Champ,Sun,2004-01-18,W,Carolina Panthers,@,Philadelphia Eagles,boxscore,14,3,256,0,289,4
37,10,Sun,2005-11-13,W,Buffalo Bills,,Kansas City Chiefs,boxscore,14,3,209,2,316,4
38,2,Sun,2006-09-17,W,Atlanta Falcons,,Tampa Bay Buccaneers,boxscore,14,3,382,2,351,3
39,1,Sun,2007-09-09,W,San Diego Chargers,,Chicago Bears,boxscore,14,3,263,2,202,4
40,14,Thu,2011-12-08,W,Pittsburgh Steelers,,Cleveland Browns,boxscore,14,3,416,3,304,2
