Rk,Week,Day,Date,,Winner/tie,,Loser/tie,,PtsW,PtsL,YdsW,TOW,YdsL,TOL
1,7,Sat,1922-11-11,W,Racine Legion,,Columbus Panhandles,boxscore,34,0,0,0,0,0
2,4,Sun,1923-10-21,W,Columbus Tigers,,Louisville Brecks,boxscore,34,0,0,0,0,0
3,3,Sun,1925-10-04,W,Chicago Cardinals,,Milwaukee Badgers,boxscore,34,0,0,0,0,0
4,5,Sun,1925-10-18,W,Pottsville Maroons,@,Providence Steam Roller,boxscore,34,0,0,0,0,0
5,8,Sun,1926-11-07,W,Pottsville Maroons,,Akron Indians,boxscore,34,0,0,0,0,0
6,8,Sun,1926-11-07,W,Chicago Bears,,Louisville Colonels,boxscore,34,0,0,0,0,0
7,11,Thu,1928-11-29,W,Chicago Bears,,Chicago Cardinals,boxscore,34,0,0,0,0,0
8,10,Sun,1929-11-24,W,Staten Island Stapletons,,Minneapolis Red Jackets,boxscore,34,0,0,0,0,0
9,9,Sun,1929-11-17,W,New York Giants,,Chicago Bears,boxscore,34,0,0,0,0,0
10,9,Sun,1930-11-09,W,Brooklyn Dodgers,,Minneapolis Red Jackets,boxscore,34,0,0,0,0,0
11,11,Thu,1932-11-24,W,Chicago Bears,,Chicago Cardinals,boxscore,34,0,0,0,0,0
12,12,Sun,1944-12-03,W,Philadelphia Eagles,,Brooklyn Tigers,boxscore,34,0,300,3,29,4
13,13,Tue,1946-12-03,W,Cleveland Browns,@,Miami Seahawks,boxscore,34,0,233,2,46,9
14,2,Sun,1959-10-04,W,San Francisco 49ers,,Los Angeles Rams,boxscore,34,0,296,1,177,5
15,14,Sun,1960-12-11,W,Dallas Texans,,Boston Patriots,boxscore,34,0,300,4,151,5
16,7,Sun,1964-10-25,W,Baltimore Colts,@,Detroit Lions,boxscore,34,0,315,2,247,4
17,12,Sun,1968-11-24,W,Oakland Raiders,@,Cincinnati Bengals,boxscore,34,0,604,1,148,3
18,Conf. Champ,Sun,1968-12-29,W,Baltimore Colts,@,Cleveland Browns,boxscore,34,0,353,2,173,3
19,12,Sun,1970-12-06,W,Dallas Cowboys,,Washington Redskins,boxscore,34,0,424,1,166,4
20,2,Sun,1971-09-26,W,Oakland Raiders,@,San Diego Chargers,boxscore,34,0,375,1,226,5
21,8,Sun,1971-11-07,W,Miami Dolphins,,Buffalo Bills,boxscore,34,0,391,0,364,5
22,4,Mon,1972-10-09,W,Oakland Raiders,@,Houston Oilers,boxscore,34,0,302,4,89,5
23,7,Sun,1973-10-28,W,Detroit Lions,,Green Bay Packers,boxscore,34,0,329,2,63,3
24,10,Sun,1974-11-17,W,San Francisco 49ers,@,Chicago Bears,boxscore,34,0,413,4,170,3
25,11,Sun,1974-11-24,W,Green Bay Packers,,San Diego Chargers,boxscore,34,0,297,1,193,3
26,10,Sun,1976-11-14,W,New York Jets,,Tampa Bay Buccaneers,boxscore,34,0,344,1,277,6
27,6,Sun,1980-10-12,W,New England Patriots,,Miami Dolphins,boxscore,34,0,360,4,88,4
28,10,Sun,1980-11-09,W,Minnesota Vikings,,Detroit Lions,boxscore,34,0,446,0,178,5
29,7,Sun,1986-10-19,W,New England Patriots,@,Pittsburgh Steelers,boxscore,34,0,317,1,168,4
30,6,Sun,1987-10-18,W,Cleveland Browns,@,Cincinnati Bengals,boxscore,34,0,410,4,95,3
31,8,Sun,1987-11-01,W,Denver Broncos,,Detroit Lions,boxscore,34,0,460,1,191,2
32,12,Sun,1989-11-26,W,Kansas City Chiefs,,Houston Oilers,boxscore,34,0,313,1,215,1
33,4,Sun,1990-09-30,W,Kansas City Chiefs,,Cleveland Browns,boxscore,34,0,259,1,270,3
34,3,Sun,1991-09-15,W,Washington Redskins,,Phoenix Cardinals,boxscore,34,0,350,2,165,4
35,13,Sun,1992-11-29,W,Atlanta Falcons,,New England Patriots,boxscore,34,0,253,0,105,4
36,2,Sun,1996-09-08,W,San Francisco 49ers,,St. Louis Rams,boxscore,34,0,352,0,105,4
37,11,Sun,1997-11-09,W,Denver Broncos,,Carolina Panthers,boxscore,34,0,393,1,147,4
38,9,Mon,1998-11-02,W,Dallas Cowboys,@,Philadelphia Eagles,boxscore,34,0,294,0,200,3
39,8,Sun,1999-10-31,W,Kansas City Chiefs,,San Diego Chargers,boxscore,34,0,283,0,213,4
40,3,Sun,2004-09-26,W,Seattle Seahawks,,San Francisco 49ers,boxscore,34,0,374,0,175,4
41,10,Sun,2007-11-11,W,Green Bay Packers,,Minnesota Vikings,boxscore,34,0,488,0,247,1
42,5,Sun,2008-10-05,W,Carolina Panthers,,Kansas City Chiefs,boxscore,34,0,441,2,127,3
43,4,Sun,2012-09-30,W,San Francisco 49ers,@,New York Jets,boxscore,34,0,381,0,145,4
44,15,Sun,2012-12-16,W,Atlanta Falcons,,New York Giants,boxscore,34,0,394,0,256,3
45,2,Sun,2018-09-16,W,Los Angeles Rams,,Arizona Cardinals,boxscore,34,0,432,1,137,1
