Rk,Week,Day,Date,,Winner/tie,,Loser/tie,,PtsW,PtsL,YdsW,TOW,YdsL,TOL
1,11,Sun,1931-11-22,W,Chicago Cardinals,,Portsmouth Spartans,boxscore,20,19,0,0,0,0
2,3,Sun,1955-10-09,W,San Francisco 49ers,@,Chicago Bears,boxscore,20,19,290,3,441,4
3,5,Sun,1960-10-09,W,Oakland Raiders,@,Dallas Texans,boxscore,20,19,286,2,292,4
4,2,Sun,1968-09-15,W,New York Jets,@,Kansas City Chiefs,boxscore,20,19,397,2,201,1
5,9,Sun,1970-11-15,W,Green Bay Packers,,Chicago Bears,boxscore,20,19,319,1,282,0
6,10,Sun,1972-11-19,W,Baltimore Colts,@,Cincinnati Bengals,boxscore,20,19,306,1,267,1
7,10,Sun,1974-11-17,W,Detroit Lions,,New York Giants,boxscore,20,19,294,3,292,1
8,4,Sun,1975-10-12,W,New Orleans Saints,,Green Bay Packers,boxscore,20,19,392,3,161,3
9,9,Sun,1975-11-16,W,Houston Oilers,,Miami Dolphins,boxscore,20,19,239,0,350,2
10,5,Sun,1976-10-10,W,Minnesota Vikings,,Chicago Bears,boxscore,20,19,287,2,329,2
11,14,Sun,1977-12-18,W,Seattle Seahawks,,Cleveland Browns,boxscore,20,19,323,2,360,5
12,3,Sun,1978-09-17,W,Houston Oilers,,San Francisco 49ers,boxscore,20,19,330,2,382,3
13,15,Mon,1978-12-11,W,Cincinnati Bengals,@,Los Angeles Rams,boxscore,20,19,367,2,415,3
14,15,Sat,1982-12-18,W,Miami Dolphins,,New York Jets,boxscore,20,19,304,3,274,2
15,7,Sun,1988-10-16,W,New Orleans Saints,@,Seattle Seahawks,boxscore,20,19,318,3,434,2
16,14,Sun,1988-12-04,W,Washington Redskins,@,Philadelphia Eagles,boxscore,20,19,410,4,310,3
17,12,Sun,1989-11-26,W,Green Bay Packers,,Minnesota Vikings,boxscore,20,19,332,1,377,2
18,7,Sun,1990-10-21,W,New York Giants,,Phoenix Cardinals,boxscore,20,19,321,2,221,0
19,Super Bowl,Sun,1991-01-27,W,New York Giants,N,Buffalo Bills,boxscore,20,19,386,0,371,0
20,2,Sun,1991-09-08,W,Minnesota Vikings,@,Atlanta Falcons,boxscore,20,19,290,2,439,2
21,5,Sun,1992-10-04,W,Denver Broncos,,Kansas City Chiefs,boxscore,20,19,347,1,369,0
22,1,Sun,1996-09-01,W,Kansas City Chiefs,@,Houston Oilers,boxscore,20,19,248,2,263,1
23,6,Sun,1997-10-05,W,Minnesota Vikings,@,Arizona Cardinals,boxscore,20,19,353,3,385,1
24,3,Sun,1999-09-26,W,Tennessee Titans,@,Jacksonville Jaguars,boxscore,20,19,242,2,369,4
25,2,Mon,2000-09-11,W,New York Jets,,New England Patriots,boxscore,20,19,330,1,293,0
26,6,Sun,2003-10-12,W,Seattle Seahawks,,San Francisco 49ers,boxscore,20,19,333,1,261,1
27,16,Sun,2003-12-21,W,Jacksonville Jaguars,,New Orleans Saints,boxscore,20,19,374,2,350,1
28,8,Mon,2005-10-31,W,Pittsburgh Steelers,,Baltimore Ravens,boxscore,20,19,261,2,318,3
29,10,Sun,2008-11-09,W,San Diego Chargers,,Kansas City Chiefs,boxscore,20,19,400,2,339,0
30,17,Sun,2008-12-28,W,Minnesota Vikings,,New York Giants,boxscore,20,19,328,1,357,0
31,15,Sun,2009-12-20,W,Oakland Raiders,@,Denver Broncos,boxscore,20,19,343,2,337,0
32,12,Thu,2011-11-24,W,Dallas Cowboys,,Miami Dolphins,boxscore,20,19,303,2,352,1
33,14,Sun,2011-12-11,W,Houston Texans,@,Cincinnati Bengals,boxscore,20,19,412,4,285,2
34,14,Sun,2012-12-09,W,Dallas Cowboys,@,Cincinnati Bengals,boxscore,20,19,288,1,336,1
35,10,Sun,2015-11-15,W,Miami Dolphins,@,Philadelphia Eagles,boxscore,20,19,289,0,436,1
36,1,Sun,2016-09-11,W,New York Giants,@,Dallas Cowboys,boxscore,20,19,316,1,328,0
37,2,Sun,2018-09-16,W,Denver Broncos,,Oakland Raiders,boxscore,20,19,385,1,373,0
38,7,Sun,2018-10-21,W,Los Angeles Chargers,,Tennessee Titans,boxscore,20,19,344,0,390,1
39,11,Sun,2018-11-18,W,Detroit Lions,,Carolina Panthers,boxscore,20,19,309,0,387,1
40,5,Thu,2020-10-08,W,Chicago Bears,,Tampa Bay Buccaneers,boxscore,20,19,243,1,339,1
41,6,Sun,2020-10-18,W,New York Giants,,Washington Football Team,boxscore,20,19,240,1,337,2
42,13,Sun,2021-12-05,W,Pittsburgh Steelers,,Baltimore Ravens,boxscore,20,19,321,0,326,1
43,17,Sun,2022-01-02,W,Los Angeles Rams,@,Baltimore Ravens,boxscore,20,19,373,3,327,2
