Rk,Week,Day,Date,,Winner/tie,,Loser/tie,,PtsW,PtsL,YdsW,TOW,YdsL,TOL
1,9,Sun,1921-11-20,W,Rochester Jeffersons,,Columbus Panhandles,boxscore,27,13,0,0,0,0
2,4,Sun,1947-10-12,W,Los Angeles Rams,@,Detroit Lions,boxscore,27,13,406,4,383,4
3,7,Sat,1955-11-05,W,Chicago Cardinals,,Pittsburgh Steelers,boxscore,27,13,261,1,466,6
4,1,Sun,1964-09-13,W,Cleveland Browns,@,Washington Redskins,boxscore,27,13,255,3,307,4
5,13,Sat,1965-12-11,W,Dallas Cowboys,,St. Louis Cardinals,boxscore,27,13,403,1,339,0
6,8,Sun,1966-10-30,W,Washington Redskins,@,Philadelphia Eagles,boxscore,27,13,260,3,257,2
7,1,Sun,1967-09-17,W,Los Angeles Rams,@,New Orleans Saints,boxscore,27,13,462,1,299,3
8,6,Sun,1967-10-22,W,San Francisco 49ers,,New Orleans Saints,boxscore,27,13,318,1,200,2
9,8,Sun,1967-11-05,W,Chicago Bears,@,Detroit Lions,boxscore,27,13,180,2,174,4
10,14,Sun,1970-12-20,W,Cleveland Browns,@,Denver Broncos,boxscore,27,13,283,3,280,4
11,7,Sun,1972-10-29,W,Minnesota Vikings,@,Green Bay Packers,boxscore,27,13,344,3,232,4
12,9,Sun,1972-11-12,W,Washington Redskins,,New York Giants,boxscore,27,13,380,1,235,2
13,12,Sun,1975-12-07,W,Houston Oilers,@,San Francisco 49ers,boxscore,27,13,279,3,200,3
14,1,Sun,1976-09-12,W,Baltimore Colts,@,New England Patriots,boxscore,27,13,272,1,317,5
15,11,Sun,1977-11-27,W,Denver Broncos,,Baltimore Colts,boxscore,27,13,317,2,330,3
16,Conf. Champ,Sun,1980-01-06,W,Pittsburgh Steelers,,Houston Oilers,boxscore,27,13,358,2,227,3
17,9,Sun,1983-10-30,W,New York Jets,@,San Francisco 49ers,boxscore,27,13,364,1,312,2
18,6,Sun,1985-10-13,W,Dallas Cowboys,,Pittsburgh Steelers,boxscore,27,13,374,2,315,3
19,3,Sun,1986-09-21,W,Kansas City Chiefs,,Houston Oilers,boxscore,27,13,223,1,284,3
20,Division,Sat,1987-01-03,W,Washington Redskins,@,Chicago Bears,boxscore,27,13,302,1,220,4
21,4,Mon,1989-10-02,W,Chicago Bears,,Philadelphia Eagles,boxscore,27,13,374,3,435,6
22,5,Sun,1990-10-07,W,Chicago Bears,,Green Bay Packers,boxscore,27,13,353,2,237,3
23,15,Sun,1991-12-08,W,Chicago Bears,,Green Bay Packers,boxscore,27,13,296,2,261,2
24,9,Sun,1992-11-01,W,Green Bay Packers,@,Detroit Lions,boxscore,27,13,347,2,190,1
25,11,Sun,1992-11-15,W,Denver Broncos,,New York Giants,boxscore,27,13,379,2,159,1
26,16,Sun,1994-12-18,W,Chicago Bears,,Los Angeles Rams,boxscore,27,13,298,0,243,1
27,13,Sun,1996-11-24,W,New England Patriots,,Indianapolis Colts,boxscore,27,13,429,0,291,2
28,7,Sun,1997-10-12,W,New York Giants,@,Arizona Cardinals,boxscore,27,13,426,1,235,5
29,10,Sun,1999-11-14,W,Dallas Cowboys,,Green Bay Packers,boxscore,27,13,339,2,284,2
30,Wild Card,Sat,2000-01-08,W,Washington Redskins,,Detroit Lions,boxscore,27,13,389,2,258,2
31,7,Mon,2000-10-16,W,Tennessee Titans,,Jacksonville Jaguars,boxscore,27,13,409,1,304,2
32,1,Sun,2003-09-07,W,Atlanta Falcons,@,Dallas Cowboys,boxscore,27,13,318,1,403,2
33,15,Sun,2003-12-14,W,New England Patriots,,Jacksonville Jaguars,boxscore,27,13,296,1,354,2
34,9,Sun,2004-11-07,W,Baltimore Ravens,,Cleveland Browns,boxscore,27,13,240,1,217,2
35,14,Sun,2004-12-12,W,New Orleans Saints,@,Dallas Cowboys,boxscore,27,13,344,2,269,4
36,1,Sun,2005-09-11,W,Cincinnati Bengals,@,Cleveland Browns,boxscore,27,13,420,2,373,3
37,6,Sun,2005-10-16,W,Tampa Bay Buccaneers,,Miami Dolphins,boxscore,27,13,342,1,307,2
38,7,Sun,2005-10-23,W,Pittsburgh Steelers,@,Cincinnati Bengals,boxscore,27,13,304,2,302,2
39,14,Sun,2005-12-11,W,Minnesota Vikings,,St. Louis Rams,boxscore,27,13,259,2,337,6
40,17,Sun,2006-01-01,W,Tampa Bay Buccaneers,,New Orleans Saints,boxscore,27,13,285,0,306,3
41,Division,Sat,2006-01-14,W,Denver Broncos,,New England Patriots,boxscore,27,13,286,1,420,5
42,14,Sun,2006-12-10,W,New York Giants,@,Carolina Panthers,boxscore,27,13,307,0,463,3
43,1,Sun,2007-09-09,W,Carolina Panthers,@,St. Louis Rams,boxscore,27,13,385,2,238,2
44,4,Sun,2007-09-30,W,Cleveland Browns,,Baltimore Ravens,boxscore,27,13,303,1,418,2
45,7,Sun,2008-10-19,W,Baltimore Ravens,@,Miami Dolphins,boxscore,27,13,357,1,359,1
46,2,Sun,2009-09-20,W,Minnesota Vikings,@,Detroit Lions,boxscore,27,13,265,1,265,3
47,15,Sun,2009-12-20,W,Philadelphia Eagles,,San Francisco 49ers,boxscore,27,13,422,2,261,4
48,3,Sun,2010-09-26,W,Indianapolis Colts,@,Denver Broncos,boxscore,27,13,365,0,519,2
49,3,Sun,2010-09-26,W,Dallas Cowboys,@,Houston Texans,boxscore,27,13,385,0,340,3
50,10,Sun,2010-11-14,W,Chicago Bears,,Minnesota Vikings,boxscore,27,13,360,2,240,4
51,15,Sun,2010-12-19,W,Kansas City Chiefs,@,St. Louis Rams,boxscore,27,13,383,1,224,2
52,15,Sun,2011-12-18,W,Indianapolis Colts,,Tennessee Titans,boxscore,27,13,287,1,388,3
53,11,Sun,2012-11-18,W,New York Jets,@,St. Louis Rams,boxscore,27,13,289,0,281,3
54,14,Sun,2012-12-09,W,San Francisco 49ers,,Miami Dolphins,boxscore,27,13,321,0,227,1
55,17,Sun,2012-12-30,W,San Francisco 49ers,,Arizona Cardinals,boxscore,27,13,407,0,262,2
56,8,Sun,2013-10-27,W,Arizona Cardinals,,Atlanta Falcons,boxscore,27,13,348,1,292,4
57,10,Sun,2013-11-10,W,Philadelphia Eagles,@,Green Bay Packers,boxscore,27,13,415,1,396,2
