Rk,Week,Day,Date,,Winner/tie,,Loser/tie,,PtsW,PtsL,YdsW,TOW,YdsL,TOL
1,11,Sun,1949-12-04,W,Chicago Cardinals,@,Los Angeles Rams,boxscore,31,27,277,2,379,6
2,7,Sun,1953-11-08,W,San Francisco 49ers,@,Los Angeles Rams,boxscore,31,27,414,4,333,3
3,6,Sun,1954-10-31,W,Chicago Bears,@,San Francisco 49ers,boxscore,31,27,469,2,388,2
4,4,Sun,1957-10-20,W,Detroit Lions,,Baltimore Colts,boxscore,31,27,369,4,322,6
5,8,Sun,1957-11-17,W,Los Angeles Rams,@,Green Bay Packers,boxscore,31,27,512,4,276,2
6,12,Sat,1957-12-14,W,Chicago Cardinals,@,Philadelphia Eagles,boxscore,31,27,391,2,436,2
7,Division,Sun,1957-12-22,W,Detroit Lions,@,San Francisco 49ers,boxscore,31,27,324,4,351,5
8,3,Sun,1960-10-09,W,Philadelphia Eagles,,St. Louis Cardinals,boxscore,31,27,293,3,364,6
9,3,Sun,1962-09-30,W,New York Giants,@,Pittsburgh Steelers,boxscore,31,27,427,1,317,3
10,10,Sun,1963-11-10,W,Houston Oilers,,New York Jets,boxscore,31,27,309,2,354,5
11,6,Sun,1971-10-24,W,Oakland Raiders,,Cincinnati Bengals,boxscore,31,27,316,2,250,1
12,12,Sun,1971-12-05,W,Cleveland Browns,,Cincinnati Bengals,boxscore,31,27,406,3,346,2
13,14,Sun,1971-12-19,W,San Francisco 49ers,,Detroit Lions,boxscore,31,27,357,1,310,1
14,8,Sun,1973-11-04,W,Houston Oilers,@,Baltimore Colts,boxscore,31,27,444,6,259,2
15,6,Sun,1974-10-20,W,St. Louis Cardinals,@,Houston Oilers,boxscore,31,27,345,2,433,3
16,12,Thu,1974-11-28,W,Denver Broncos,@,Detroit Lions,boxscore,31,27,361,2,252,2
17,10,Sun,1976-11-14,W,Cincinnati Bengals,,Houston Oilers,boxscore,31,27,300,3,252,3
18,8,Sun,1981-10-25,W,Detroit Lions,,Green Bay Packers,boxscore,31,27,409,2,382,3
