Rk,Week,Day,Date,,Winner/tie,,Loser/tie,,PtsW,PtsL,YdsW,TOW,YdsL,TOL
1,12,Sun,1947-11-16,W,Cleveland Browns,,San Francisco 49ers,boxscore,37,14,440,0,329,4
2,12,Sun,1948-12-05,W,Boston Yanks,,Philadelphia Eagles,boxscore,37,14,198,3,325,5
3,2,Sun,1952-10-05,W,San Francisco 49ers,@,Dallas Texans,boxscore,37,14,500,5,183,3
4,4,Sun,1953-10-18,W,Green Bay Packers,,Baltimore Colts,boxscore,37,14,337,3,193,7
5,6,Sat,1954-10-30,W,Green Bay Packers,@,Philadelphia Eagles,boxscore,37,14,155,2,203,4
6,2,Sun,1957-10-06,W,Washington Redskins,@,Chicago Cardinals,boxscore,37,14,427,0,223,1
7,12,Sun,1962-12-02,W,Philadelphia Eagles,@,Washington Redskins,boxscore,37,14,372,2,347,5
8,1,Sun,1963-09-15,W,Cleveland Browns,,Washington Redskins,boxscore,37,14,543,2,272,3
9,2,Sat,1963-09-21,W,Washington Redskins,@,Los Angeles Rams,boxscore,37,14,404,2,248,2
10,3,Sun,1963-09-29,W,New York Giants,@,Philadelphia Eagles,boxscore,37,14,352,0,316,6
11,14,Sun,1967-12-17,W,New York Giants,,St. Louis Cardinals,boxscore,37,14,418,2,330,3
12,1,Sun,1971-09-19,W,Cincinnati Bengals,,Philadelphia Eagles,boxscore,37,14,532,1,315,4
13,11,Sun,1971-11-28,W,Baltimore Colts,@,Oakland Raiders,boxscore,37,14,306,1,311,6
14,2,Sun,1972-09-24,W,San Diego Chargers,,Denver Broncos,boxscore,37,14,317,2,313,6
15,14,Sat,1973-12-15,W,Pittsburgh Steelers,@,San Francisco 49ers,boxscore,37,14,308,0,239,6
16,6,Sun,1974-10-20,W,Los Angeles Rams,,San Francisco 49ers,boxscore,37,14,398,1,179,3
17,13,Sun,1974-12-08,W,Denver Broncos,,Houston Oilers,boxscore,37,14,411,1,268,2
18,12,Sun,1977-12-04,W,San Diego Chargers,,Cleveland Browns,boxscore,37,14,425,0,319,1
19,16,Sun,1982-12-26,W,Pittsburgh Steelers,,New England Patriots,boxscore,37,14,494,2,331,1
20,6,Sun,1987-10-18,W,Seattle Seahawks,@,Detroit Lions,boxscore,37,14,404,2,197,2
21,12,Mon,1987-11-30,W,Los Angeles Raiders,@,Seattle Seahawks,boxscore,37,14,507,1,167,3
22,7,Mon,1988-10-17,W,Buffalo Bills,@,New York Jets,boxscore,37,14,427,1,199,2
23,5,Sun,1989-10-08,W,Indianapolis Colts,,Buffalo Bills,boxscore,37,14,330,1,424,6
24,11,Sun,1989-11-19,W,Los Angeles Rams,,Phoenix Cardinals,boxscore,37,14,436,1,292,4
25,Division,Sun,1992-01-05,W,Buffalo Bills,,Kansas City Chiefs,boxscore,37,14,448,3,213,4
26,15,Sun,1992-12-13,W,New Orleans Saints,@,Los Angeles Rams,boxscore,37,14,399,1,328,6
27,7,Sun,1993-10-17,W,Pittsburgh Steelers,,New Orleans Saints,boxscore,37,14,393,3,264,5
28,8,Sun,1993-10-24,W,Green Bay Packers,@,Tampa Bay Buccaneers,boxscore,37,14,421,2,246,4
29,16,Sun,1999-12-26,W,Atlanta Falcons,,Arizona Cardinals,boxscore,37,14,393,0,289,2
30,14,Sun,2004-12-12,W,Baltimore Ravens,,New York Giants,boxscore,37,14,353,1,196,6
31,15,Sun,2004-12-19,W,New York Jets,,Seattle Seahawks,boxscore,37,14,482,0,275,3
32,11,Sun,2013-11-17,W,Buffalo Bills,,New York Jets,boxscore,37,14,313,0,267,4
33,14,Sun,2013-12-08,W,San Diego Chargers,,New York Giants,boxscore,37,14,388,1,333,3
34,6,Sun,2021-10-17,W,Arizona Cardinals,@,Cleveland Browns,boxscore,37,14,352,0,290,3
