Rk,Week,Day,Date,,Winner/tie,,Loser/tie,,PtsW,PtsL,YdsW,TOW,YdsL,TOL
1,7,Sun,1928-11-04,W,Green Bay Packers,,Pottsville Maroons,boxscore,26,14,0,0,0,0
2,7,Sun,1929-11-03,W,New York Giants,@,Chicago Bears,boxscore,26,14,0,0,0,0
3,11,Sun,1936-11-22,W,Green Bay Packers,@,New York Giants,boxscore,26,14,328,3,265,4
4,7,Sun,1940-10-20,W,Cleveland Rams,,Chicago Cardinals,boxscore,26,14,330,3,259,6
5,11,Sun,1944-11-26,W,Detroit Lions,@,Cleveland Rams,boxscore,26,14,237,7,166,6
6,10,Sun,1955-11-27,W,Baltimore Colts,,San Francisco 49ers,boxscore,26,14,392,2,296,4
7,3,Sun,1960-10-09,W,Washington Redskins,,Dallas Cowboys,boxscore,26,14,362,1,331,4
8,9,Sun,1960-11-20,W,San Francisco 49ers,@,Dallas Cowboys,boxscore,26,14,313,2,282,7
9,9,Sun,1960-11-20,W,St. Louis Cardinals,@,Washington Redskins,boxscore,26,14,515,5,154,5
10,11,Thu,1962-11-22,W,Detroit Lions,,Green Bay Packers,boxscore,26,14,304,5,122,5
11,1,Sun,1964-09-13,W,Los Angeles Rams,@,Pittsburgh Steelers,boxscore,26,14,175,1,167,8
12,12,Thu,1966-11-24,W,Dallas Cowboys,,Cleveland Browns,boxscore,26,14,304,0,321,1
13,7,Sun,1969-11-02,W,Detroit Lions,@,San Francisco 49ers,boxscore,26,14,125,2,282,5
14,11,Sun,1970-11-29,W,Kansas City Chiefs,,San Diego Chargers,boxscore,26,14,329,1,196,2
15,6,Sun,1971-10-24,W,San Francisco 49ers,@,St. Louis Cardinals,boxscore,26,14,366,0,284,3
16,7,Sun,1972-10-29,W,Kansas City Chiefs,@,San Diego Chargers,boxscore,26,14,268,2,280,5
17,6,Sun,1973-10-21,W,Pittsburgh Steelers,,New York Jets,boxscore,26,14,360,2,118,3
18,14,Sun,1974-12-15,W,St. Louis Cardinals,,New York Giants,boxscore,26,14,316,1,280,4
19,3,Sun,1975-10-05,W,St. Louis Cardinals,,New York Giants,boxscore,26,14,379,2,264,1
20,1,Sun,1976-09-12,W,San Francisco 49ers,@,Green Bay Packers,boxscore,26,14,314,1,227,3
21,3,Sun,1979-09-16,W,Philadelphia Eagles,@,New Orleans Saints,boxscore,26,14,361,0,235,2
22,6,Sun,1983-10-09,W,Denver Broncos,@,Houston Oilers,boxscore,26,14,401,1,293,4
23,Wild Card,Sat,1985-12-28,W,New England Patriots,@,New York Jets,boxscore,26,14,258,0,240,4
24,6,Sun,1986-10-12,W,Atlanta Falcons,,Los Angeles Rams,boxscore,26,14,275,2,290,3
25,5,Sun,1989-10-08,W,Los Angeles Rams,,Atlanta Falcons,boxscore,26,14,438,1,353,1
26,6,Sun,1989-10-15,W,Minnesota Vikings,,Green Bay Packers,boxscore,26,14,398,2,219,3
27,6,Sun,1990-10-14,W,Tampa Bay Buccaneers,,Green Bay Packers,boxscore,26,14,356,1,381,6
28,1,Sun,1991-09-01,W,Dallas Cowboys,@,Cleveland Browns,boxscore,26,14,395,0,275,0
29,13,Sun,1991-11-24,W,Pittsburgh Steelers,,Houston Oilers,boxscore,26,14,294,2,331,6
30,9,Sun,1992-11-01,W,New York Jets,,Miami Dolphins,boxscore,26,14,363,1,296,2
31,9,Sun,1994-10-30,W,Denver Broncos,,Cleveland Browns,boxscore,26,14,457,2,317,1
32,14,Sun,1995-12-03,W,Seattle Seahawks,,Philadelphia Eagles,boxscore,26,14,316,0,269,1
33,3,Mon,2002-09-23,W,Tampa Bay Buccaneers,,St. Louis Rams,boxscore,26,14,252,1,358,4
34,1,Sun,2005-09-11,W,Jacksonville Jaguars,,Seattle Seahawks,boxscore,26,14,362,0,322,5
35,6,Sun,2008-10-12,W,New York Jets,,Cincinnati Bengals,boxscore,26,14,252,3,171,1
36,Wild Card,Sun,2009-01-04,W,Philadelphia Eagles,@,Minnesota Vikings,boxscore,26,14,350,2,301,2
37,4,Sun,2018-09-30,W,Baltimore Ravens,@,Pittsburgh Steelers,boxscore,26,14,451,1,284,2
38,10,Sun,2018-11-11,W,Kansas City Chiefs,,Arizona Cardinals,boxscore,26,14,330,0,260,2
39,14,Sun,2020-12-13,W,Tampa Bay Buccaneers,,Minnesota Vikings,boxscore,26,14,303,0,335,1
40,17,Mon,2022-01-03,W,Pittsburgh Steelers,,Cleveland Browns,boxscore,26,14,299,1,232,2
