Rk,Week,Day,Date,,Winner/tie,,Loser/tie,,PtsW,PtsL,YdsW,TOW,YdsL,TOL
1,9,Sat,1954-11-20,W,San Francisco 49ers,@,Pittsburgh Steelers,boxscore,31,3,472,1,202,3
2,3,Sun,1956-10-14,W,Chicago Cardinals,@,Washington Redskins,boxscore,31,3,280,2,236,3
3,10,Sun,1965-11-21,W,Washington Redskins,@,Pittsburgh Steelers,boxscore,31,3,199,2,115,7
4,7,Sun,1966-10-23,W,Philadelphia Eagles,@,New York Giants,boxscore,31,3,316,3,228,5
5,10,Sun,1967-11-19,W,Los Angeles Rams,@,Atlanta Falcons,boxscore,31,3,405,2,238,5
6,12,Sun,1968-12-01,W,Los Angeles Rams,@,Minnesota Vikings,boxscore,31,3,324,2,127,5
7,14,Sun,1970-12-20,W,Los Angeles Rams,@,New York Giants,boxscore,31,3,341,0,216,2
8,3,Sun,1971-10-03,W,San Francisco 49ers,@,Philadelphia Eagles,boxscore,31,3,510,2,261,2
9,3,Sun,1972-10-01,W,Atlanta Falcons,,Los Angeles Rams,boxscore,31,3,358,3,249,6
10,4,Sun,1973-10-07,W,Miami Dolphins,,New York Jets,boxscore,31,3,370,2,198,5
11,11,Sun,1973-11-25,W,Oakland Raiders,,San Diego Chargers,boxscore,31,3,320,2,235,2
12,9,Sun,1975-11-16,W,San Francisco 49ers,,Chicago Bears,boxscore,31,3,335,3,200,2
13,12,Sun,1979-11-18,W,Tampa Bay Buccaneers,,New York Giants,boxscore,31,3,363,0,200,4
14,11,Sun,1985-11-17,W,San Francisco 49ers,,Kansas City Chiefs,boxscore,31,3,417,2,200,1
15,1,Sun,1986-09-07,W,Houston Oilers,@,Green Bay Packers,boxscore,31,3,375,1,224,2
16,Division,Sun,1991-01-13,W,New York Giants,,Chicago Bears,boxscore,31,3,288,1,232,2
17,5,Sun,1991-09-29,W,Seattle Seahawks,,Indianapolis Colts,boxscore,31,3,251,3,137,3
18,5,Sun,1991-09-29,W,Detroit Lions,,Tampa Bay Buccaneers,boxscore,31,3,359,4,187,4
19,2,Sun,1992-09-13,W,Tampa Bay Buccaneers,,Green Bay Packers,boxscore,31,3,395,1,215,3
20,16,Sun,1996-12-15,W,Green Bay Packers,@,Detroit Lions,boxscore,31,3,336,1,265,1
21,3,Sun,1997-09-14,W,Seattle Seahawks,@,Indianapolis Colts,boxscore,31,3,423,1,118,0
22,4,Sun,1997-09-21,W,New England Patriots,,Chicago Bears,boxscore,31,3,402,3,199,3
23,8,Thu,1997-10-16,W,Kansas City Chiefs,,San Diego Chargers,boxscore,31,3,313,1,258,2
24,13,Mon,1997-11-24,W,Denver Broncos,,Oakland Raiders,boxscore,31,3,370,1,260,2
25,7,Sun,1999-10-24,W,Green Bay Packers,@,San Diego Chargers,boxscore,31,3,295,2,303,6
26,7,Sun,1999-10-24,W,New York Giants,,New Orleans Saints,boxscore,31,3,321,2,270,3
27,8,Sun,2000-10-22,W,Oakland Raiders,,Seattle Seahawks,boxscore,31,3,380,1,283,3
28,4,Sun,2001-10-07,W,Chicago Bears,@,Atlanta Falcons,boxscore,31,3,300,2,335,5
29,17,Sun,2003-12-28,W,Green Bay Packers,,Denver Broncos,boxscore,31,3,366,1,216,3
30,17,Sun,2003-12-28,W,Kansas City Chiefs,,Chicago Bears,boxscore,31,3,282,1,241,2
31,6,Sun,2004-10-17,W,Denver Broncos,@,Oakland Raiders,boxscore,31,3,444,1,145,2
32,6,Sun,2008-10-12,W,Indianapolis Colts,,Baltimore Ravens,boxscore,31,3,334,0,260,5
33,7,Sun,2009-10-25,W,Green Bay Packers,@,Cleveland Browns,boxscore,31,3,460,0,139,2
34,16,Sun,2009-12-27,W,Atlanta Falcons,,Buffalo Bills,boxscore,31,3,391,0,178,3
35,11,Sun,2010-11-21,W,Green Bay Packers,@,Minnesota Vikings,boxscore,31,3,374,0,300,2
36,9,Sun,2011-11-06,W,Miami Dolphins,@,Kansas City Chiefs,boxscore,31,3,351,0,343,0
37,12,Sun,2017-11-26,W,Philadelphia Eagles,,Chicago Bears,boxscore,31,3,420,3,140,2
38,5,Mon,2019-10-07,W,San Francisco 49ers,,Cleveland Browns,boxscore,31,3,446,0,180,4
39,12,Sun,2020-11-29,W,New Orleans Saints,@,Denver Broncos,boxscore,31,3,292,1,112,3
40,6,Sun,2021-10-17,W,Indianapolis Colts,,Houston Texans,boxscore,31,3,388,0,353,3
